Identifiant_Accident,date,Annee_Accident,Mois_Accident,Jour_Accident,Heure_Minutes_Accident,Departement,Commune,Latitude,Longitude,Localisation,Intersection,Categorie_Route,Régime_Circulation,Amenagement_Infrastructure,Situation_Accident,coord,Metropole
201800031421,2018-12-04,2018,décembre,mardi,1900-01-01 12:15:00,67,67371,48.87617,7.32319,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"48.87617, 7.32319",Autre
201800031568,2018-03-01,2018,mars,jeudi,1900-01-01 19:30:00,38,38114,45.4131,4.77961,Hors agglomération,Hors intersection,Route Départementale,Bidirectionnelle,Aucun,Sur chaussée,"45.4131, 4.77961",Autre
201800031608,2018-01-18,2018,janvier,jeudi,1900-01-01 17:54:00,67,67462,48.26318,7.44092,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.26318, 7.44092",Strasbourg
201800031617,2018-07-26,2018,juillet,jeudi,1900-01-01 20:48:00,67,67462,0.0,0.0,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur accotement,"0.0, 0.0",Strasbourg
201800031622,2018-01-01,2018,janvier,lundi,,67,67482,48.55443,7.76622,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Carrefour aménagé,Sur chaussée,"48.55443, 7.76622",Strasbourg
201800031630,2018-01-13,2018,janvier,samedi,,67,67482,48.5689,7.75165,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Voie ferrée,Sur chaussée,"48.5689, 7.75165",Strasbourg
201800031633,2018-01-16,2018,janvier,mardi,1900-01-01 13:05:00,67,67482,48.57872,7.7454,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.57872, 7.7454",Strasbourg
201800031639,2018-01-19,2018,janvier,vendredi,1900-01-01 18:00:00,67,67482,48.59376,7.77173,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur piste cyclable,"48.59376, 7.77173",Strasbourg
201800031648,2018-01-31,2018,janvier,mercredi,1900-01-01 17:50:00,67,67482,48.59199,7.76947,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.59199, 7.76947",Strasbourg
201800031649,2018-01-31,2018,janvier,mercredi,1900-01-01 20:10:00,67,67482,48.56053,7.69319,En agglomération,Giratoire,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.56053, 7.69319",Strasbourg
201800031658,2018-02-12,2018,février,lundi,1900-01-01 10:05:00,67,67482,48.5859,7.77413,En agglomération,Intersection en X,Voie Communales,Bidirectionnelle,Aucun,Sur piste cyclable,"48.5859, 7.77413",Strasbourg
201800031663,2018-02-13,2018,février,mardi,1900-01-01 16:40:00,67,67482,48.5893,7.74986,En agglomération,Intersection en X,Voie Communales,A sens unique,Aucun,Sur chaussée,"48.5893, 7.74986",Strasbourg
201800031676,2018-03-08,2018,mars,jeudi,,67,67482,48.57665,7.74139,En agglomération,Hors intersection,Voie Communales,A sens unique,Aucun,Sur chaussée,"48.57665, 7.74139",Strasbourg
201800031677,2018-03-09,2018,mars,vendredi,1900-01-01 10:00:00,67,67482,48.56165,7.6958,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.56165, 7.6958",Strasbourg
201800031680,2018-03-12,2018,mars,lundi,,67,67482,48.57076,7.71009,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Voie ferrée,Sur chaussée,"48.57076, 7.71009",Strasbourg
201800031686,2018-03-16,2018,mars,vendredi,1900-01-01 20:05:00,67,67482,48.59884,7.7529,En agglomération,Hors intersection,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.59884, 7.7529",Strasbourg
201800031690,2018-03-26,2018,mars,lundi,1900-01-01 19:00:00,67,67482,48.58074,7.72763,En agglomération,Intersection en T,Voie Communales,A chaussées séparées,Aucun,Sur chaussée,"48.58074, 7.72763",Strasbourg
201800031691,2018-03-27,2018,mars,mardi,1900-01-01 13:50:00,67,67043,48.61081,7.76645,En agglomération,Intersection en T,Voie Communales,Bidirectionnelle,Aucun,Sur chaussée,"48.61081, 7.76645",Strasbourg
201800032026,2018-11-26,2018,novembre,lundi,1900-01-01 13:41:00,67,67482,48.58565,7.75549,En agglomération,Hors intersection,Voie Communales,A chaussées séparées,Voie ferrée,Sur chaussée,"48.58565, 7.75549",Strasbourg
