DEP;Annee;Nombre de deplacements en velo
38;2008;1654827
38;2009;1799979
38;2010;1788453
38;2011;2090304
38;2012;2002394
38;2013;2014159
38;2014;2232702
38;2015;2229742
38;2016;2050339
38;2017;2152270
38;2018;2496647
38;2019;2707306
