id,coord,annee_maj,categorie,geometrie,longitude,latitude,code_postal
1617,"45.19925,5.75566",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.75566,45.19925],[5.75544,45.19905],[5.75502,45.1987],[5.75457,45.19838],[5.75413,45.19807],[5.75376,45.19781],[5.75336,45.19759],[5.75318,45.19751],[5.75277,45.19735],[5.75214,45.19715],[5.75164,45.19702],[5.75122,45.19696]]}",45.19925,5.75566,38
1618,"45.20321,5.76149",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.76149,45.20321],[5.76182,45.20345],[5.76202,45.20358],[5.7625,45.20394]]}",45.20321,5.76149,38
1619,"45.20394,5.7625",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.7625,45.20394],[5.76339,45.20454],[5.76402,45.20499],[5.76432,45.20523],[5.76441,45.20529],[5.76454,45.20537]]}",45.20394,5.7625,38
1621,"45.20951,5.7773",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.7773,45.20951],[5.77601,45.20917],[5.77545,45.20901]]}",45.20951,5.7773,38
1622,"45.20651,5.77323",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.77323,45.20651],[5.77355,45.20661]]}",45.20651,5.77323,38
1623,"45.20697,5.77323",2019-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.77323,45.20697],[5.77323,45.20697],[5.77328,45.20685],[5.77342,45.20676],[5.7735,45.20668],[5.77355,45.20661]]}",45.20697,5.77323,38
1615,"45.20183,5.75957",2016-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.75957,45.20183],[5.75932,45.20164],[5.75888,45.20133],[5.75861,45.20118],[5.75857,45.20115],[5.75842,45.20112],[5.75829,45.20106]]}",45.20183,5.75957,38
1646,"45.14514,5.71062",2022-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.71062,45.14514],[5.71058,45.14496],[5.71052,45.14484],[5.71045,45.14479],[5.71043,45.14476],[5.71012,45.14483],[5.70933,45.14501],[5.70787,45.14534],[5.70739,45.14547]]}",45.14514,5.71062,38
1767,"45.1852,5.73217",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.73217,45.1852],[5.7325,45.18532]]}",45.1852,5.73217,38
1759,"45.19635,5.75206",2020-01-01,chronovelo,"{""type"":""LineString"",""coordinates"":[[5.75206,45.19635],[5.75227,45.19622],[5.75236,45.19616],[5.75245,45.19609],[5.75251,45.19603],[5.75228,45.19593],[5.75198,45.1959],[5.75178,45.19581],[5.75155,45.19569],[5.74602,45.19185],[5.74359,45.19034]]}",45.19635,5.75206,38
